"#AUTHID","sEXT","sNEU","sAGR","sCON","sOPN","cEXT","cNEU","cAGR","cCON","cOPN","DATE","NETWORKSIZE","BETWEENNESS","NBETWEENNESS","DENSITY","BROKERAGE","NBROKERAGE","TRANSITIVITY",Pos,Neg,Pstv,Affil,Ngtv,Hostile,Strng,Power,Weak,Subm,Actv,Psv,Pleasure,Pain,Arousal,EMOT,Feel,Virtue,Vice,Ovrst,Undrst,Acad,Doctr,Econ*,Exch,ECON,Exprs,Legal,Milit,Polit*,POLIT,Relig,Role,COLL,Work,Ritual,Intrel,Race,Kin*,MALE,Female,Nonadlt,HU,ANI,PLACE,Social,Region,Route,Aquatic,Land,Sky,Object,Tool,Food,Vehicle,Bldgpt,Natobj,Bodypt,Comnobj,Comform,COM,Say,Need,Goal,Try,Means,Ach,Persist,Complt,Fail,Natpro,Begin,Vary,Change,Incr,Decr,Finish,Stay,Rise,Move,Exert,Fetch,Travel,Fall,Think,Know,Causal,Ought,Percv,Comp,Eval,EVAL,Solve,Abs*,ABS,Qual,Quan,NUMB,ORD,CARD,FREQ,DIST,Time*,TIME,Space,POS,DIM,Dimn,Rel,COLOR,Self,Our,You,Name,Yes,No,Negate,Intrj,IAV,DAV,SV,IPadj,IndAdj,POWGAIN,POWLOSS,POWENDS,POWAREN,POWCON,POWCOOP,POWAPT,POWPT,POWDOCT,POWAUTH,POWOTH,POWTOT,RCTETH,RCTREL,RCTGAIN,RCTLOSS,RCTENDS,RCTTOT,RSPGAIN,RSPLOSS,RSPOTH,RSPTOT,AFFGAIN,AFFLOSS,AFFPT,AFFOTH,AFFTOT,WLTPT,WLTTRAN,WLTOTH,WLTTOT,WLBGAIN,WLBLOSS,WLBPHYS,WLBPSYC,WLBPT,WLBTOT,ENLGAIN,ENLLOSS,ENLENDS,ENLPT,ENLOTH,ENLTOT,SKLAS,SKLPT,SKLOTH,SKLTOT,TRNGAIN,TRNLOSS,TRANS,MEANS,ENDS,ARENAS,PARTIC,NATIONS,AUD,ANOMIE,NEGAFF,POSAFF,SURE,IF,NOT,TIMESP,FOOD,FORM
c6ee79de33e47a3799c1d00e5f727b9e,3.65,2.70,3.10,3.25,2.70,y,n,n,n,n,07/05/09 10:28 PM,138,8926.11,95.81,0.04,9061,0.49,0.17,0.73,0.33,0.95,0.5,0.31,0.11,0.11,-0.34,-0.15,-0.21,-0.16,1.2,-0.22,2.48,1.19,0.38,-0.1,1.22,-0.02,-0.01,-0.6,-0.26,-0.31,0.94,-0.13,1.22,-0.3,-0.18,-0.17,-0.25,0.15,0.18,-0.16,0.24,-0.25,0.55,-0.15,-0.09,0.41,-0.1,0.47,-0.24,-0.27,-0.2,0.09,-0.35,-0.19,-0.13,-0.08,1.39,-0.16,0.8,-0.37,-0.33,2.59,-0.29,-0.28,-0.22,0.6,0.05,0.71,0.0,-0.15,1.83,-0.13,0.22,-0.07,-0.25,-0.18,-0.19,-0.42,-0.12,-0.14,-0.06,-0.14,-0.16,-0.1,-0.08,-0.06,0.0,-0.21,-0.17,-0.14,0.0,-0.12,0.56,-0.15,-0.27,0.37,0.08,-0.22,0.32,2.8,1.2,0.25,0.66,-0.49,-0.37,0.0,-0.37,-0.29,-0.1,-0.44,-0.07,0.3,-0.14,-0.26,0.0,-0.25,0.5,0.84,-0.35,-0.04,-0.25,-0.16,-0.09,-0.36,-0.23,-0.4,1.1,0.36,-0.13,-0.34,-0.15,-0.08,-0.12,-0.21,-0.09,-0.17,-0.18,-0.11,-0.1,-0.16,-0.28,-0.37,-0.17,-0.19,-0.11,-0.06,-0.28,-0.37,-0.13,-0.09,0.2,0.18,-0.06,0.0,-0.29,1.46,0.84,-0.16,-0.15,2.53,2.38,-0.1,-0.19,-0.01,0.59,-0.2,0.22,0.54,-0.14,-0.09,-0.08,0.55,0.53,-0.24,-0.09,1.02,0.24,-0.16,-0.14,-0.25,3.09,-0.3,-0.28,-0.28,-0.24,-0.05,-0.15,0.93,0.6,-0.36,0.53,-0.24,-0.11,-0.2,0.55
8974aab97d9fc4e3a53ba126b5eedd81,3.20,2.90,3.25,2.70,4.05,n,y,n,n,y,01/09/10 01:01 AM,149,10140.3,93.22,0.04,10581,0.49,0.11,-0.66,-0.49,-0.65,-0.36,-0.39,-0.25,-0.64,-0.34,-0.51,-0.21,-0.37,-0.56,-0.22,-0.33,-0.25,-0.35,-0.1,-0.55,-0.36,-0.56,-0.6,-0.26,-0.31,-0.3,-0.13,-0.43,-0.3,-0.18,-0.17,-0.25,-0.43,-0.32,-0.47,-0.26,-0.25,-0.25,-0.15,-0.09,-0.26,-0.36,-0.38,-0.24,-0.53,-0.2,-0.42,-0.35,-0.19,-0.13,-0.08,-0.19,-0.16,-0.45,-0.37,-0.33,-0.12,-0.29,-0.28,-0.22,-0.18,-0.32,-0.34,0.0,-0.15,-0.16,-0.13,-0.33,-0.07,-0.25,-0.18,-0.19,-0.42,-0.12,-0.14,-0.06,-0.14,-0.16,-0.1,-0.08,-0.06,0.0,-0.21,-0.17,-0.14,0.0,-0.12,-0.44,-0.15,-0.27,-0.4,-0.22,-0.22,-0.57,-0.25,-0.45,-0.49,-0.33,-0.49,-0.37,0.0,-0.37,-0.29,-0.1,-0.57,-0.44,-0.83,-0.14,-0.26,0.0,-0.25,-0.22,-0.75,-0.35,-0.35,-0.25,-0.16,-0.09,-0.62,-0.23,-0.4,-0.53,-0.62,-0.13,-0.34,-0.15,-0.08,-0.12,-0.21,-0.09,-0.17,-0.18,-0.11,-0.1,-0.16,-0.28,-0.37,-0.17,-0.19,-0.11,-0.06,-0.28,-0.37,-0.13,-0.09,-0.37,-0.37,-0.06,0.0,-0.29,-0.42,-0.5,-0.16,-0.15,-0.24,-0.29,-0.1,-0.19,-0.42,-0.23,-0.2,-0.49,-0.36,-0.14,-0.09,-0.08,-0.54,-0.56,-0.24,-0.09,-0.31,-0.35,-0.16,-0.14,-0.25,-0.25,-0.3,-0.28,-0.28,-0.24,-0.36,-0.15,-0.36,-0.34,-0.36,-0.47,-0.54,-0.62,-0.2,-0.36
ea890531d3e0547166efde52d843099e,4.75,4.25,3.75,3.50,5.00,y,y,y,y,y,01/06/10 06:25 PM,325,49975.1,95.51,0.03,51220,0.49,0.18,-0.66,0.94,-0.65,-0.36,-0.39,-0.25,1.99,-0.34,-0.51,-0.21,1.14,-0.56,-0.22,-0.33,-0.25,-0.35,-0.1,-0.55,-0.36,1.35,-0.6,-0.26,-0.31,-0.3,-0.13,-0.43,-0.3,-0.18,-0.17,-0.25,-0.43,-0.32,-0.47,-0.26,-0.25,5.29,-0.15,-0.09,-0.26,-0.36,-0.38,-0.24,-0.53,-0.2,1.38,-0.35,-0.19,-0.13,-0.08,10.81,-0.16,3.06,-0.37,4.84,-0.12,-0.29,-0.28,-0.22,-0.18,-0.32,-0.34,0.0,-0.15,13.8,-0.13,-0.33,-0.07,-0.25,-0.18,-0.19,-0.42,-0.12,-0.14,-0.06,-0.14,-0.16,-0.1,-0.08,-0.06,0.0,-0.21,-0.17,-0.14,0.0,-0.12,3.06,-0.15,-0.27,-0.4,-0.22,-0.22,-0.57,-0.25,-0.45,-0.49,-0.33,0.97,-0.37,0.0,-0.37,-0.29,-0.1,-0.57,2.15,0.49,-0.14,-0.26,0.0,-0.25,4.82,3.36,-0.35,1.8,-0.25,-0.16,-0.09,-0.62,-0.23,-0.4,-0.53,3.93,-0.13,-0.34,-0.15,-0.08,-0.12,-0.21,-0.09,-0.17,-0.18,-0.11,-0.1,-0.16,10.5,4.34,-0.17,-0.19,-0.11,-0.06,-0.28,-0.37,-0.13,-0.09,7.61,7.33,-0.06,0.0,-0.29,-0.42,-0.5,-0.16,-0.15,-0.24,-0.29,-0.1,-0.19,-0.42,-0.23,-0.2,-0.49,-0.36,-0.14,-0.09,-0.08,-0.54,-0.56,-0.24,-0.09,-0.31,-0.35,-0.16,-0.14,-0.25,-0.25,-0.3,-0.28,-0.28,-0.24,1.78,-0.15,-0.36,-0.34,5.21,-0.47,-0.54,0.1,-0.2,-0.36
c723c2f329649b2af235fdefd1ca293c,2.75,2.50,3.50,3.75,3.50,n,n,n,y,n,07/29/09 04:53 AM,440,94264.3,98.05,0.01,95323,0.5,0.05,1.08,-0.49,1.75,1.07,-0.39,-0.25,1.24,-0.34,-0.51,-0.21,0.7,-0.56,-0.22,-0.33,-0.25,-0.35,-0.1,1.66,-0.36,0.12,-0.6,-0.26,-0.31,-0.3,-0.13,0.26,-0.3,-0.18,-0.17,-0.25,1.0,-0.32,0.31,-0.26,1.94,-0.25,-0.15,-0.09,-0.26,-0.36,-0.38,-0.24,0.12,-0.2,-0.42,-0.35,-0.19,-0.13,-0.08,-0.19,-0.16,-0.45,-0.37,-0.33,-0.12,-0.29,-0.28,-0.22,-0.18,-0.32,-0.34,0.0,-0.15,-0.16,-0.13,-0.33,-0.07,2.21,-0.18,-0.19,-0.42,-0.12,-0.14,-0.06,-0.14,-0.16,-0.1,-0.08,-0.06,0.0,-0.21,-0.17,-0.14,0.0,-0.12,-0.44,-0.15,3.25,-0.4,-0.22,-0.22,0.54,-0.25,-0.45,-0.49,-0.33,-0.49,-0.37,0.0,-0.37,-0.29,-0.1,-0.57,-0.44,1.06,-0.14,-0.26,0.0,-0.25,-0.22,0.3,0.45,0.42,-0.25,-0.16,-0.09,-0.62,-0.23,-0.4,0.83,0.19,-0.13,-0.34,-0.15,-0.08,-0.12,-0.21,-0.09,-0.17,5.59,-0.11,-0.1,-0.16,1.65,1.31,-0.17,-0.19,-0.11,-0.06,1.35,0.75,-0.13,-0.09,-0.37,-0.37,-0.06,0.0,-0.29,-0.42,-0.5,-0.16,-0.15,-0.24,-0.29,-0.1,-0.19,0.61,-0.23,-0.2,0.39,-0.36,-0.14,-0.09,-0.08,-0.54,-0.56,-0.24,-0.09,-0.31,-0.35,12.19,-0.14,-0.25,-0.25,-0.3,-0.28,-0.28,-0.24,0.41,-0.15,-0.36,-0.34,1.63,-0.47,-0.54,-0.62,-0.2,-0.36
eb7f8081aa0bd4004f513d3299db9063,2.71,3.57,3.14,3.64,3.57,n,y,n,y,n,06/15/09 06:13 AM,731,261379,98.23,0.01,264141,0.5,0.06,1.66,-0.49,-0.65,-0.36,-0.39,-0.25,-0.64,-0.34,-0.51,4.56,-0.37,-0.56,-0.22,-0.33,-0.25,-0.35,-0.1,-0.55,-0.36,-0.56,-0.6,-0.26,-0.31,-0.3,-0.13,-0.43,-0.3,-0.18,-0.17,-0.25,-0.43,-0.32,-0.47,-0.26,-0.25,-0.25,-0.15,-0.09,-0.26,-0.36,-0.38,-0.24,-0.53,-0.2,-0.42,-0.35,-0.19,-0.13,-0.08,-0.19,-0.16,-0.45,-0.37,-0.33,-0.12,-0.29,-0.28,-0.22,-0.18,-0.32,-0.34,0.0,9.51,-0.16,-0.13,-0.33,-0.07,-0.25,-0.18,-0.19,-0.42,-0.12,-0.14,-0.06,-0.14,-0.16,-0.1,-0.08,-0.06,0.0,-0.21,-0.17,-0.14,0.0,-0.12,-0.44,-0.15,-0.27,-0.4,-0.22,-0.22,-0.57,-0.25,-0.45,-0.49,-0.33,-0.49,-0.37,0.0,-0.37,-0.29,-0.1,-0.57,-0.44,-0.83,-0.14,-0.26,0.0,-0.25,-0.22,2.6,-0.35,-0.35,-0.25,-0.16,-0.09,1.98,-0.23,-0.4,-0.53,-0.62,12.92,-0.34,-0.15,-0.08,-0.12,-0.21,-0.09,-0.17,-0.18,-0.11,-0.1,-0.16,-0.28,-0.37,-0.17,-0.19,-0.11,-0.06,-0.28,-0.37,-0.13,-0.09,-0.37,-0.37,-0.06,0.0,-0.29,-0.42,-0.5,-0.16,-0.15,-0.24,-0.29,-0.1,-0.19,-0.42,-0.23,-0.2,-0.49,-0.36,-0.14,-0.09,-0.08,-0.54,-0.56,-0.24,-0.09,-0.31,-0.35,-0.16,-0.14,-0.25,-0.25,-0.3,-0.28,-0.28,-0.24,-0.36,-0.15,-0.36,-0.34,-0.36,-0.47,2.43,-0.62,-0.2,-0.36
37195f370c3fd7486ccedb1519b026c2,4.13,1.43,4.50,3.50,4.13,y,n,y,y,y,06/15/09 02:36 AM,694,234370,97.74,0.01,237664,0.5,0.07,-0.66,-0.49,-0.65,-0.36,-0.39,-0.25,-0.36,-0.34,-0.33,0.03,-0.27,-0.56,-0.22,-0.33,-0.25,-0.35,-0.1,-0.33,-0.36,-0.56,-0.45,-0.26,-0.31,-0.3,-0.13,-0.43,-0.3,-0.18,-0.17,0.18,-0.28,-0.07,-0.47,-0.26,-0.25,-0.25,-0.15,-0.09,-0.26,-0.36,0.47,-0.24,-0.53,0.49,-0.17,-0.35,1.28,-0.13,-0.08,-0.19,-0.16,-0.45,-0.37,-0.33,-0.12,-0.29,-0.28,-0.22,-0.18,-0.13,-0.17,0.0,-0.15,-0.16,-0.13,-0.33,-0.07,-0.25,-0.18,-0.19,-0.42,-0.12,-0.14,-0.06,-0.14,-0.16,-0.1,-0.08,-0.06,0.0,-0.21,-0.17,-0.14,0.0,-0.12,-0.19,-0.15,-0.27,-0.4,-0.07,-0.22,-0.57,-0.25,-0.04,-0.31,-0.33,-0.18,0.17,0.0,0.17,-0.29,-0.1,-0.38,-0.35,-0.64,-0.14,-0.01,0.0,-0.25,-0.22,-0.71,-0.35,-0.35,-0.25,-0.16,-0.09,-0.62,-0.23,-0.4,-0.26,-0.46,-0.13,-0.34,-0.15,-0.08,-0.12,0.73,-0.09,-0.17,-0.18,-0.11,-0.1,-0.16,-0.28,-0.2,-0.17,-0.19,-0.11,-0.06,0.05,-0.15,-0.13,-0.09,-0.37,-0.37,-0.06,0.0,-0.29,-0.42,-0.5,-0.16,-0.15,-0.24,-0.29,-0.1,-0.19,-0.42,-0.23,-0.2,-0.49,-0.36,-0.14,-0.09,-0.08,-0.27,-0.38,-0.24,-0.09,-0.31,-0.35,-0.16,-0.14,-0.25,-0.25,-0.3,-0.28,-0.16,-0.24,-0.36,-0.15,-0.36,-0.34,-0.36,-0.47,-0.54,-0.37,-0.2,-0.36
f2026b8cb48aff9af31577ecbfda5c38,2.75,2.50,4.00,3.00,4.75,n,n,y,n,y,06/24/09 12:14 AM,731,264627,99.45,0.01,265324,0.5,0.02,-0.66,-0.49,-0.65,6.79,-0.39,-0.25,-0.64,-0.34,-0.51,-0.21,-0.37,-0.56,-0.22,-0.33,-0.25,-0.35,-0.1,-0.55,-0.36,-0.56,-0.6,-0.26,-0.31,-0.3,-0.13,-0.43,-0.3,-0.18,-0.17,-0.25,-0.43,-0.32,-0.47,12.09,-0.25,-0.25,-0.15,-0.09,-0.26,-0.36,-0.38,-0.24,6.02,-0.2,-0.42,-0.35,-0.19,-0.13,-0.08,-0.19,-0.16,-0.45,-0.37,-0.33,-0.12,-0.29,-0.28,-0.22,-0.18,-0.32,-0.34,0.0,-0.15,-0.16,-0.13,-0.33,-0.07,-0.25,-0.18,-0.19,-0.42,-0.12,-0.14,-0.06,-0.14,-0.16,-0.1,-0.08,-0.06,0.0,-0.21,-0.17,-0.14,0.0,-0.12,-0.44,-0.15,-0.27,-0.4,-0.22,-0.22,-0.57,-0.25,-0.45,-0.49,-0.33,-0.49,-0.37,0.0,-0.37,-0.29,-0.1,-0.57,-0.44,3.89,-0.14,-0.26,0.0,-0.25,-0.22,1.35,-0.35,-0.35,-0.25,-0.16,-0.09,-0.62,-0.23,-0.4,-0.53,-0.62,-0.13,-0.34,-0.15,-0.08,-0.12,-0.21,-0.09,-0.17,-0.18,-0.11,-0.1,-0.16,-0.28,-0.37,-0.17,-0.19,-0.11,-0.06,-0.28,-0.37,-0.13,-0.09,-0.37,-0.37,-0.06,0.0,-0.29,-0.42,-0.5,-0.16,-0.15,-0.24,-0.29,-0.1,-0.19,-0.42,-0.23,-0.2,-0.49,-0.36,-0.14,-0.09,-0.08,-0.54,-0.56,-0.24,-0.09,-0.31,-0.35,-0.16,-0.14,-0.25,-0.25,-0.3,-0.28,-0.28,-0.24,-0.36,-0.15,-0.36,-0.34,-0.36,-0.47,-0.54,-0.62,-0.2,-0.36
8d7faa6d7f104a6cb7c4a9e1c6310a15,3.65,2.55,4.20,3.45,4.55,y,n,y,n,y,10/29/09 06:04 AM,112,5856.21,95.92,0.04,5968,0.49,0.09,-0.66,-0.49,-0.65,-0.36,-0.39,-0.25,-0.64,-0.34,-0.51,-0.21,-0.37,-0.56,-0.22,-0.33,-0.25,-0.35,-0.1,-0.55,-0.36,-0.56,-0.6,-0.26,-0.31,-0.3,-0.13,-0.43,-0.3,-0.18,-0.17,-0.25,-0.43,-0.32,-0.47,-0.26,-0.25,-0.25,-0.15,-0.09,-0.26,-0.36,-0.38,-0.24,-0.53,-0.2,-0.42,-0.35,-0.19,-0.13,-0.08,-0.19,-0.16,-0.45,-0.37,-0.33,-0.12,-0.29,-0.28,-0.22,-0.18,-0.32,-0.34,0.0,-0.15,-0.16,-0.13,-0.33,-0.07,-0.25,-0.18,-0.19,-0.42,-0.12,-0.14,-0.06,-0.14,-0.16,-0.1,-0.08,-0.06,0.0,-0.21,-0.17,-0.14,0.0,-0.12,-0.44,-0.15,-0.27,-0.4,-0.22,-0.22,-0.57,-0.25,-0.45,-0.49,-0.33,-0.49,-0.37,0.0,-0.37,-0.29,-0.1,-0.57,-0.44,1.53,-0.14,-0.26,0.0,-0.25,-0.22,-0.75,-0.35,-0.35,-0.25,-0.16,-0.09,-0.62,-0.23,-0.4,-0.53,-0.62,-0.13,-0.34,-0.15,-0.08,-0.12,-0.21,-0.09,-0.17,-0.18,-0.11,-0.1,-0.16,-0.28,-0.37,-0.17,-0.19,-0.11,-0.06,-0.28,-0.37,-0.13,-0.09,-0.37,-0.37,-0.06,0.0,-0.29,-0.42,-0.5,-0.16,-0.15,-0.24,-0.29,-0.1,-0.19,-0.42,-0.23,-0.2,-0.49,-0.36,-0.14,-0.09,-0.08,-0.54,-0.56,-0.24,-0.09,-0.31,-0.35,-0.16,-0.14,-0.25,-0.25,-0.3,-0.28,-0.28,-0.24,-0.36,-0.15,-0.36,-0.34,-0.36,-0.47,-0.54,-0.62,-0.2,-0.36
c597771fab7477c2ae7b507d532130b0,2.35,2.10,4.15,3.75,4.80,n,n,y,y,y,06/23/09 07:19 PM,115,5992.5,93.04,0.03,6390,0.5,0.02,0.03,-0.49,0.31,-0.36,-0.39,-0.25,-0.08,1.29,-0.51,-0.21,-0.05,0.1,-0.22,-0.33,-0.25,-0.35,-0.1,0.12,-0.36,0.26,-0.6,-0.26,-0.31,-0.3,-0.13,-0.02,0.5,-0.18,-0.17,-0.25,-0.43,0.43,-0.0,-0.26,-0.25,0.35,-0.15,-0.09,-0.26,-0.36,-0.38,-0.24,-0.14,-0.2,-0.42,-0.35,-0.19,-0.13,-0.08,-0.19,-0.16,-0.45,-0.37,-0.33,-0.12,-0.29,-0.28,-0.22,-0.18,-0.32,-0.34,0.0,-0.15,-0.16,-0.13,-0.33,-0.07,-0.25,5.42,-0.19,-0.42,-0.12,-0.14,-0.06,-0.14,-0.16,-0.1,1.77,-0.06,0.0,-0.21,-0.17,-0.14,0.0,-0.12,-0.44,-0.15,-0.27,-0.4,-0.22,-0.22,0.1,-0.25,-0.45,-0.49,-0.33,-0.49,-0.37,0.0,-0.37,-0.29,-0.1,-0.38,-0.44,-0.41,-0.14,-0.26,0.0,-0.25,-0.22,-0.62,0.13,-0.35,-0.25,-0.16,-0.09,0.16,-0.23,0.03,0.29,-0.62,-0.13,-0.34,-0.15,-0.08,-0.12,-0.21,-0.09,-0.17,-0.18,-0.11,-0.1,-0.16,-0.28,-0.37,-0.17,-0.19,-0.11,-0.06,0.7,0.3,-0.13,-0.09,-0.37,-0.37,-0.06,0.0,-0.29,-0.42,-0.5,-0.16,-0.15,-0.24,-0.29,-0.1,-0.19,-0.42,-0.23,-0.2,-0.49,-0.36,-0.14,-0.09,-0.08,-0.54,-0.56,-0.24,-0.09,-0.31,-0.35,-0.16,-0.14,-0.25,-0.25,2.51,-0.28,-0.28,-0.24,-0.36,-0.15,-0.36,-0.34,-0.36,-0.47,0.35,-0.47,-0.2,-0.36
8cc4acc3bb9b04d1c4a4b4d35ca514ee,3.40,2.85,3.80,3.20,3.65,n,y,y,n,n,09/18/09 04:55 PM,266,31169.8,89.11,0.03,34191,0.49,0.11,0.5,0.53,0.95,-0.36,0.77,1.53,0.3,-0.34,-0.51,-0.21,-0.37,1.63,-0.22,-0.33,-0.25,-0.35,-0.1,1.66,1.33,-0.56,0.98,-0.26,-0.31,-0.3,-0.13,-0.43,-0.3,-0.18,-0.17,-0.25,-0.43,-0.32,-0.47,-0.26,-0.25,-0.25,-0.15,-0.09,-0.26,-0.36,-0.38,-0.24,-0.53,-0.2,-0.42,-0.35,-0.19,-0.13,-0.08,-0.19,-0.16,-0.45,-0.37,-0.33,-0.12,-0.29,-0.28,-0.22,-0.18,-0.32,1.41,0.0,-0.15,-0.16,-0.13,-0.33,-0.07,-0.25,-0.18,-0.19,-0.42,-0.12,-0.14,-0.06,-0.14,-0.16,-0.1,-0.08,-0.06,0.0,-0.21,-0.17,3.07,0.0,-0.12,-0.44,-0.15,-0.27,-0.4,-0.22,-0.22,-0.57,-0.25,-0.45,0.44,-0.33,-0.49,-0.37,0.0,-0.37,-0.29,-0.1,0.71,0.48,1.06,-0.14,-0.26,0.0,-0.25,-0.22,0.51,-0.35,-0.35,-0.25,-0.16,-0.09,-0.62,-0.23,-0.4,-0.53,-0.62,-0.13,-0.34,-0.15,-0.08,-0.12,-0.21,-0.09,-0.17,-0.18,-0.11,-0.1,-0.16,-0.28,-0.37,-0.17,-0.19,-0.11,-0.06,-0.28,-0.37,-0.13,-0.09,-0.37,-0.37,-0.06,0.0,-0.29,-0.42,-0.5,-0.16,-0.15,-0.24,-0.29,-0.1,-0.19,-0.42,-0.23,-0.2,-0.49,-0.36,-0.14,-0.09,-0.08,-0.54,-0.56,-0.24,-0.09,-0.31,-0.35,-0.16,-0.14,6.56,-0.25,9.07,-0.28,-0.28,-0.24,-0.36,-0.15,-0.36,-0.34,-0.36,-0.47,-0.54,0.41,-0.2,-0.36
