#AUTHID,sEXT,sNEU,sAGR,sCON,sOPN,cEXT,cNEU,cAGR,cCON,cOPN,DATE,NETWORKSIZE,BETWEENNESS,NBETWEENNESS,DENSITY,BROKERAGE,NBROKERAGE,TRANSITIVITY,Valence,Crr_Arousal,Dominance,CC,CD,DT,EX,FW,IN,JJ,NN,PRP,RB,TO,VB
00419a4c96b32cd63b2c7196da761274,1.9,4.15,3.15,4.65,3.45,n,y,n,y,n,10/25/09 03:01 AM,141,8399.66,86.33,0.07,9196,0.47,0.31,-3.28,-5.9,-1.58,-1.08,-0.88,-1.57,-0.29,-0.23,-0.55,-1.65,-1.36,-1.08,0.14,-1.35,-1.61
02c37028a782cfda660c7243e45244bb,2.05,4,2.2,2.2,3.75,n,y,n,n,n,09/25/09 09:53 AM,134,8096.6,92.24,0.07,8311,0.47,0.35,-2.07,-1.23,-0.8,-1.08,1.62,-1.31,-0.29,-0.23,-1.08,-1.08,0.23,-1.08,-1.29,-1.35,-1.5
03133a828cd0cf52e3752813ce5d818f,3.84,3.55,2.85,4.32,3.45,y,y,n,y,n,09/02/2009 03:26,584,164031,96.69,0.02,167499,0.49,0.12,-0.01,0.75,0.34,1.68,8.92,0.82,-0.29,-0.23,1.81,1.35,1.61,0.19,1.87,-0.08,0.89
03e6c4eca4269c183fa0e1780f73faba,3.2,3.6,3.85,4.35,4.8,n,y,y,y,y,06/21/09 06:22 PM,222,21894.7,90.06,0.04,23462,0.48,0.21,-0.35,-0.09,-0.56,1.57,-0.29,1.3,-0.29,0.53,1.08,0.75,1.13,0.25,-0.43,0.18,0.39
06b055f8e2bca96496514891057913c3,2.85,2.35,3.35,4.7,3.35,n,n,n,y,n,12/29/09 12:42 AM,194,18123.1,97.81,0.02,18313,0.49,0.06,1.03,-1.0,0.22,0.69,-0.49,1.54,-0.29,-0.23,0.09,0.62,-0.04,0.32,0.43,0.94,0.61
0724fe854bd455061ba84efecdeff469,3,3.15,2.95,3.55,4.8,n,y,n,y,y,09/08/2009 01:11,236,25651.9,93.3,0.03,26805,0.49,0.18,0.02,1.36,-0.19,-1.08,-0.88,0.42,-0.29,11.68,-0.35,0.1,0.94,-0.08,0.01,0.65,-0.2
0737e4e4980f56c9fb1cb5743001c917,3.35,2.3,4.1,2.4,4.5,n,n,y,n,y,08/20/09 04:21 PM,431,91298.5,98.98,0.01,91701,0.5,0.03,0.4,-0.01,0.38,0.77,-0.1,0.54,-0.29,0.03,0.83,0.89,1.12,0.28,0.08,1.29,1.04
0abd57182992dd9167b88b198350afe4,4.33,2.17,3.17,4.17,4.83,y,n,n,y,y,10/31/09 11:50 PM,654,207792,97.61,0.01,210797,0.5,0.08,0.25,0.22,0.34,0.0,0.88,0.49,-0.29,-0.23,0.05,-0.25,-0.21,-0.13,0.34,-0.68,-0.38
0bfa3d952ffed50f25011b128e73a820,2.8,1.6,3.65,3.25,4.15,n,n,y,n,y,06/23/09 11:24 PM,463,103722,97.4,0.02,105113,0.49,0.13,0.51,-0.24,0.63,0.36,0.05,1.17,-0.29,-0.23,1.1,1.05,1.12,0.67,0.86,0.78,1.07
0e09a1e89675e72bc2c3f2fac504fced,2.85,3.2,2.85,4.1,4.7,n,y,n,y,y,10/05/2009 16:59,176,14764.9,96.98,0.03,14973,0.49,0.09,-1.33,-0.2,-1.46,0.44,-0.34,0.57,-0.29,1.16,0.15,0.55,0.01,-0.38,1.39,0.4,0.3
0ea88660e23db79e2a3c897a5490d0df,4.25,2,3.25,4.75,3.5,y,n,n,y,n,07/04/2009 14:28,298,41492.8,94.4,0.03,42968,0.49,0.14,0.6,-0.28,0.63,0.08,-0.29,0.4,-0.29,-0.23,-0.01,0.55,-0.21,0.54,0.43,0.18,0.14
1187ed8a8b100eb49b8684ac30d6da29,4,4,2.25,4.5,3.25,y,y,n,y,n,07/10/2009 17:31,631,192351,97.08,0.02,195496,0.49,0.14,0.37,-0.05,0.34,-0.41,0.2,-0.09,0.74,-0.23,-0.22,-0.28,-0.22,-0.29,-0.59,-0.08,-0.31
